game_id,description,image,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,thumbnail,year_published,artist,category,compilation,designer,expansion,family,mechanic,publisher,average_rating,users_rated,_art_year
3967,"A space battle game set in the Warhammer 40,000 universe.  BFG uses a variety of spaceship miniatures that are moved and fired by distance measuring.  Battles have a Age-of-Sail-in-Space feel to them with more emphasis on broadside attacks than on 'air' superiority.  The core rules contain scenarios along with campaign rules.&#10;&#10;The starter box was out of print for couple of years, but due to popular demand (or a large surplus of miniatures in their warehouse), Games Workshop re-released it.&#10;&#10;The starter box set is now OOP.  The rules have been revised, and are available in book format and free PDF downloadable files.&#10;&#10;As of 2013, the ships are no longer available from Games Workshop or Forgeworld.&#10;&#10;The game is expanded by Battlefleet Gothic Armada Armada supersedes the BFG rulebook, often referred to as 'the blue book.'&#10;&#10;",//cf.geekdo-images.com/images/pic1571650.jpg,4,180,12,2,180,Battlefleet Gothic,180,//cf.geekdo-images.com/images/pic1571650_t.jpg,1999,"Dave Andrews,John Blanche,Alex Boyd,Wayne England,Talima Fox,Des Hanley,Neil Hodgson,Nuala Kennedy,Paul Smith,John Wigley,Richard Wright","Miniatures,Science Fiction",,Andy Chambers,"Battlefleet Gothic Armada,Warp Storm","Games Workshop Specialist Games,Warhammer 40,000 Wargames","Area Movement,Variable Player Powers",Games Workshop Ltd.,6.9297,834,1970
3970,"Based on the fantasy Lost Worlds game books (but incompatible with the Lost Worlds series). Each player uses a book and a stat sheet that represent their 'mech. By giving your opponent your book, and taking theirs, you get to see the actual first person view in the combat.&#10;&#10;Books in the series include:&#10;&#10;GRF-1N Griffin&#10;LCT-1S Locust &#10;RFL-3N Rifleman&#10;SHD-2H Shadow Hawk &#10;WHM-6R Warhammer &#10;WSP-1A Wasp&#10;&#10;",//cf.geekdo-images.com/images/pic11444.jpg,2,10,12,2,10,BattleTech Science Fiction Combat Book Game,10,//cf.geekdo-images.com/images/pic11444_t.jpg,1987,Doug Shuler,"Book,Fighting,Science Fiction",,"Karl Hiesterman,Alfred Leonardi","BattleTech Combat Book Expansion: Basic Terrain Cards,BattleTech Combat Book Expansion: Urban Terrain Cards","BattleTech,Picture Book Games","Rock-Paper-Scissors,Simultaneous Action Selection,Variable Player Powers",Nova Game Designs,5.9372,82,1970
3972,"Settlers of Catan Travel Edition is, as the name says, a Travel Edition of The Settlers of Catan. &#10;The rules of the game are the same, but there are some changes between the two editions: &#10;&#10;    No Expansions: In the Travel Edition it is not possible to add any expansions to the regular game, so it is a 3 or 4 players game only. &#10;    Pre-determined Desert location: The hex containing the Desert is always in the middle of the board. &#10;    Pre-determined numbers: The numbers for production are in fixed locations on the board. That is a natural follow up to the previous item. &#10;    Pre-determined port location: Although the type of port at a given location may vary, the port sites themselves are in fixed locations. So the numbers for production, where a port exists, are always the same, and there is never a port near the Desert. &#10;    Snap in bits: The roads, villages and cities are all snapped into the board during game play, so it is difficult to mess with the board. The Robber, however, sits freely on the board, and, as you need somewhere to throw the dice, you may prefer a table upon which to play the Travel Edition (although the box top or box insert could be used as a dice tray).&#10;&#10;&#10;&#10;&#10;Belongs to the Catan Series.&#10;&#10;",//cf.geekdo-images.com/images/pic1081330.jpg,4,90,10,3,90,Catan: Portable Edition,90,//cf.geekdo-images.com/images/pic1081330_t.jpg,2002,"Volkan Baga,Tanja Donner,Harald Lieske,Stephen Graham Walsh","City Building,Civilization,Negotiation",,Klaus Teuber,,Catan,"Dice Rolling,Hand Management,Modular Board,Route/Network Building,Trading","999 Games,Capcom Co., Ltd.,danspil,GP Games,Hanayama,KOSMOS,Mayfair Games",6.80889,1306,1970
3973,"A French game about soccer.&#10;You don't have to play soccer, but to make money with it ! You will buy or send players, arrange matches, ...&#10;A good French touch by Ludod&eacute;lire.&#10;&#10;",//cf.geekdo-images.com/images/pic867875.jpg,4,120,8,2,120,Footmania,120,//cf.geekdo-images.com/images/pic867875_t.jpg,1993,Pascal Labory,"Card Game,Economic,Sports",,"Stéphane Bonnelalbay,Serge Prual",,Sports: Football / Soccer,"Auction/Bidding,Hand Management","Ludodélire,Winning Moves France",6.5,55,1970
3977,"Bruno the Bear is ravenously hungry, so hungry that he's prone to grabbing honey jars recklessly and taking off for the woods. But will you be able to help him carry his ever-growing pile of honey jars without knocking them over?&#10;&#10;Strong Stuff! &ndash; previously published by Goldsieber with slightly different rules as B&auml;renstark &ndash; is a dexterity game in which players move Bruno, represented by a wooden bear, across a series of meadow tokens. Each turn, the active player rolls the die then either moves Bruno a number of spaces equal to the number of dots on the die or leaves him in place; when moving Bruno, a player cannot touch the tray he holds or any honey jars already balanced on his head. In either case, the player ends his turn by stacking a new honey jar on the highest jar on Bruno's tray.&#10;&#10;The honey jars come in six sizes, making stacking tricky; should any jar fall while a player moves Bruno, that player loses one of two honey drops he was given at the start of the game. Once a player loses both honey drops, the game ends and whoever has the most honey drops in hand wins.&#10;&#10;The HABA edition of Strong Stuff! includes a special die for experienced players in which you're challenged to spin Bruno in place or move him only with your right or left hand. (Note: The HABA edition is for 2-6 players, while Goldsieber's B&auml;renstark was labeled for 2-4 players.)&#10;&#10;",//cf.geekdo-images.com/images/pic1161910.jpg,6,20,5,2,20,Strong Stuff!,20,//cf.geekdo-images.com/images/pic1161910_t.jpg,2002,Felix Scheinberger,"Action / Dexterity,Children's Game,Party Game",,Heinz Meister,,"Animals: Bears,HABA Mitbringspiele series","Dice Rolling,Roll / Spin and Move","Goldsieber Spiele,HABA - Habermaaß GmbH",6.42807,141,1970
3979,"Each player tries to move the existing structure of game stones in the direction of his side of the board.  If a game stone touches the outside of the game field, then the player to whom this side belongs has won. If a corner of the game field is reached, the two players to whom the adjoining sides belong share the win.&#10;&#10;",//cf.geekdo-images.com/images/pic1170834.png,6,60,10,2,60,Wabanti,60,//cf.geekdo-images.com/images/pic1170834_t.png,1974,Matthias Wittig,"Abstract Strategy,Dice",,Reinhold Wittig,,"Edition Perlhuhn series at Franckh-Kosmos,Tube Games",Dice Rolling,"(Self-Published),Edition Perlhuhn (Göttinger Spiele),Fagus,KOSMOS,M. Hornauer Verlag,Das Spiel,Verlag Bert Schlender,W. Keller & Co",5.8806,67,1970
3984,"A quirky auction game played on a delightfully eye-catching roll-up board with large colored marbles and stylized wooden sailboats.&#10;&#10;The colored marbles are designated &quot;pearls,&quot; and you buy spots for them on the board in two steps, taken in either order:  First (or second), buy a pearl of a particular color.  Second (or first), buy the right to place it in a row or column labeled with a particular letter.  There's an auction on each player's turn where one choice in both these possibilities goes on sale at the same time.  So, perhaps the auction is for B, or a blue pearl.  If you win the auction and you've already got a pearl, you immediately have to choose a spot for it somewhere in row or column B; if you've already got your letter bought, you get the blue pearl and immediately choose a spot for it; if you've got neither, you can take either one and await getting the other in a later auction.&#10;&#10;Ultimately your scores are determined by how many pearls of the same color are clustered together and the number of empty spaces surrounding the cluster, and whether you have more pearls than anyone else in the cluster.&#10;&#10;Tahiti is an excellent choice if you enjoy auctions, area majorities, and that &quot;Acquire&quot; kind of feeling you get from watching squares fill in and grow into scoring groups.&#10;&#10;",//cf.geekdo-images.com/images/pic25304.jpg,4,45,10,2,45,Tahiti,45,//cf.geekdo-images.com/images/pic25304_t.jpg,1995,Ralf E. Kahlert,,,"Ralf E. Kahlert,Ralf zur Linde",,"Country: French Polynesia,Marble Games,Tropical theme",Auction/Bidding,franjos Spieleverlag,6.39091,55,1970
3985,"Forty years of tense, uneasy peace are suddenly shattered as the Korean Peninsula erupts in renewed warfare. Two peoples -- historically, ethnically, and culturally homogeneous, but polarized by politics and economics -- hurl men, weapons, and materials into the fray in an attempt to settle their division once and for all.&#10;&#10;From Pyongyang in North Korea to Pusan in South Korea, the battle rages. While the front line surges east to west across the peninsula, both sides commit airborne and seaborne Special Forces and Marines as well as their Air Forces to deep penetrations into enemy territory. With skilled infiltration capabilities, and the strategic mobility of armor, airmobile, paratroop, and marine forces, there is no safe haven throughout the length or breadth of Korea.&#10;&#10;While the North and South battle for a quick, decisive victory, the world awaits the response of the two military superpowers in the region, the United States of America and the People's Republic of China. Will the United States reinforce the South, and if so, how, when, and in what strength? Will the Communist Chinese again intervene into the Korean conflict as they did in 1950? As the situation evolves, choices are made, forces are committed, and the security of Japan and the future of the two Koreas hangs in the balance.&#10;&#10;Crisis: Korea 1995 allows players to fight a near-future war on the peninsula. Players have access to virtually all available military assets of North and South Korea, as well as large forces from the USA and the PRC. The integrated, easy-to-learn air-land combat system allows for unit efficiency, armor effects, tunnels, light infantry, attack helicopter, Close Air Support, Cruise Missiles, and particularly tough terrain of Korea.&#10;&#10;",//cf.geekdo-images.com/images/pic1630927.jpg,4,360,12,2,360,Crisis: Korea 1995,360,//cf.geekdo-images.com/images/pic1630927_t.jpg,1992,"Rodger B. MacGowan,Mark Simonitch","Modern Warfare,Political,Wargame",,Gene Billingsley,Korea 1995: ROK Attack,"Country: Korea,Crisis Series",Hex-and-Counter,GMT Games,7.0169,71,1970
3986,"Battle for Germany game is small, it only takes about three to four hours to play for players of normal skill and luck. The game starts in December of 1944 with the Ardennes Offensive (a variant allows the German player to skip this and save his strength). As a two-player game, it is interesting in that each player plays both an Allied army (Western Allies or Soviet Union) AND a German army (Western Front or Eastern Front). This forces each player to play offense and defense. The player playing the Western Allies and Eastern Germans has a very challenging task. The Western Germans have good defensive terrain (the Rhine river and Westwall defenses), while the Eastern Germans have weak units, a long front, very poor defensive terrain and they face a large Soviet and Yugoslav army. The only real advantage enjoyed by the East German player is the lack of victory points to be gained in the East, and the slow Soviet replacement rate. The Western Alllied units are very fast moving, but they don't usually get a chance to exploit this until the very end of the game (at best).&#10;&#10;The map is the same size as most SPI Quadrigames or folio games and has similar graphics. Cities are rated as 1 or 2 victory points, with Berlin worth 10. A line down the middle of Germany cannot be crossed (in the 2-player game), which makes Berlin the only city which can be captured by the Western Allies or the Soviets (ahistorical, but essential to the game's concept). Units are corps for the Germans and Western Allies and corps, armies, or fronts for the Soviet player. Each unit is rated for attack, defense and movement. Combat is decided by an odds-based combat results table and a die roll. Combat results include various combinations of retreat and elimination (there are no step losses, disruption or anything like this). Eliminated units can be replaced, but very slowly and (for some players) with the weakest available unit coming back first.&#10;&#10;The game includes variants for 3- and 4-player versions where the Germans are played by 1 or 2 players, and a &quot;red star/ white star&quot; scenario where the Western Allies and Soviets fight it out with some help from the remnants of the German army.&#10;&#10;",//cf.geekdo-images.com/images/pic81914.jpg,4,180,12,2,180,Battle for Germany,180,//cf.geekdo-images.com/images/pic81914_t.jpg,1975,"Christine Lockwood,David McElhannon,Mark Simonitch,Redmond A. Simonsen","Wargame,World War II",,"Michael Bennighof,Jim Dunnigan",,"Country: Germany,Magazine: Strategy & Tactics,Napoleon At Waterloo","Dice Rolling,Hex-and-Counter,Simulation","Decision Games (I),Hobby Japan,Kokusai-Tsushin Co., Ltd. (国際通信社),SPI (Simulations Publications, Inc.)",7.07596,456,1970
3990,"Basic trivia game where players try to figure out if a statement is a Fact, or just a load of Crap.&#10;&#10;The players take turns being the Reader in a clockwise direction.&#10;&#10;After the Reader has read the first question, the other players have to decide as fast as they can whether the answer is Fact or Crap.  The players indicate their answer by putting face down either their Fact Answer card or Crap Answer card.  The Reader then determines which player was the first to put their Answer card down.  Once all of the Answer cards are down, the player who was first to answer turns over their Answer card.  If the answer is correct, they receive 2 tokens from the middle pile.  The Reader will then ask everyone to turn their Answer cards over.  All other players with the correct answer will receive 1 token.  All players with the wrong answer (including the player who puts their Answer card down first) will have to put 1 token back in the middle pile.&#10;The Reader&rsquo;s turn is complete when all 3 questions have been read.  The Question card is then returned, face down, to the bottom of the Question card pile.&#10;&#10;During the game you will randomly draw Rush Hour cards.  The Reader who picks up a Rush Hour card may nominate any player to answer the Rush Hour questions.  Once the nomination has been made, the egg timer is turned over and the Reader begins to read the questions.  The aim is to have all 5 questions asked and answered within the time limit so that both Reader and the answering player have a chance to win as many extra tokens as possible.&#10;&#10;There are two ways to win Fact or Crap.&#10;- The game ends when all tokens from the middle pile are gone.  Players then count up their tokens.  The player with the most tokens is the winner, proving they know the most Fact or Crap!&#10;- In the event that all players but 1 have lost their tokens, the remaining player is deemed the winner.&#10;If at any time during the game a player loses all of their tokens, s/he is then out of the game.&#10;&#10;Re-implemented as:&#10;&#10;    SpongeBob SquarePants Fact or Fishy DVD Game&#10;&#10;&#10;&#10;&#10;",//cf.geekdo-images.com/images/pic500761.jpg,8,30,12,3,30,Fact or Crap,30,//cf.geekdo-images.com/images/pic500761_t.jpg,2001,,"Card Game,Party Game,Trivia",,(Uncredited),,,"Card Drafting,Memory","Imagination Games,Megableu,Spin Master Ltd.,University Games",3.82836,512,1970
3992,"So what's NEW in the new TOBRUK ? Plenty! The map presentation is entirely new. Instead of being 'locked' into a small map area, you'll now receive two 22&quot; x 34&quot; geomorphic mapsheets that can be connected on any side. &#10;  &#10;The terrain presentation includes sand and scrub on each mapsheet. Card stock overlays are provided for hills, wadis, deirs and sand dunes to allow for the customization of the map required in many scenarios. And a random overlay generator is also part of the kit, to enhance replay value between play sessions. &#10;  &#10;The counters have the overhead view of AFVs and vehicles debuted in wargaming with TOBRUK. Vehicles and guns now come on a 3/4&quot; counter, infantry on a 5/8&quot; and markers remain on a 1/2&quot; square. New, four color art is provided to keep things bright, and information for the use of the units depicted on the counters is provided...on the counters...to replace tedious table look-ups during play. &#10;  &#10;Speaking of counters, a wide array of units not found in the original TOBRUK are provided in the new edition. including various armored cars and more new units are provided to allow you to game myriad situations from 1940-1943. &#10;  &#10;A new card-based scenario presentation combines the historical synopsis with the orders of battle, map requirements and any special rules. All the information needed for play is found on one card to make setting up and keeping track of the action faster and easier.&#10;&#10;",//cf.geekdo-images.com/images/pic197942.jpg,2,180,10,2,180,Advanced Tobruk,180,//cf.geekdo-images.com/images/pic197942_t.jpg,2002,,"Wargame,World War II",,Ray Tapio,"Advanced Tobruk 2016,Advanced Tobruk System Basic Game II: Action at Carentan,Advanced Tobruk System Basic Game II: Busting the Bocage,Advanced Tobruk System: Tank Tactics Guide – Includes Complete Armor Basic Game,ATS Across the Aller: Northwest Europe 1945,ATS Briefing Issue 1,ATS Briefing Sourcebook #2,ATS Core Module: All American II – Stand at Amfreville 1944,ATS Core Module: Arnhem – One Bridge... Too Far 1944,ATS Core Module: Clash Along The Psel I,ATS Core Module: Clash Along The Psel II,ATS Core Module: On the Road to Rome – Gothic Line 1944,ATS Core Module: Sujewo Heights – Tigers in the Mud 1944,ATS Desperate Hours: Three Battles at Kesternich '44-'45,ATS Gazala Monster,ATS Historical Module: Backhand Blow '43 – The Third Battle of Kharkov 1943,ATS Historical Module: Hurtgen Hell,ATS Historical Module: Objective Schmidt,ATS Maxim Gorki II: The Siege of Sevastopol 1942,ATS Sealed Fate: Case White 1939,ATS Spanish Blue Division: Eastern Front 1941,ATS TT: Bandenkrieg – Hell Behind the Eastern Front,ATS TT: Darkest December,ATS Wake: Pacific Alamo,ATS Warfighting Guide #1,ATS Warfighting Guide #2,ATS Westerplatte: Opening Shots of World War 2,ATS:  Road to Bataan – Mabatang line 1941,ATS: Avanti Savoia!,ATS: Axis Legion – Spanish Division Azul on the Eastern Front,ATS: Desert Fox,ATS: Facing the Blitz,ATS: Fateful Stand,ATS: Nordic Twilight – Nordwind 1945,ATS: Parker's Crossroads,ATS: Ponyri – Metalgods,ATS: Snakeshead Ridge,ATS: So Full of Fire,ATS: Surprised Outside of Strass,ATS: Timmes Orchard,ATS: Tobruk Gamers Guide,ATS: White Beach One – The Marine Landing on Peleliu 1944,Hot Stove Pack 1,Hot Stove Pack 2,Tobruk Expansion Pack 1: Wavell's 30,000,Tobruk Expansion Pack 2: Benghazi Handicap,Tobruk Expansion Pack 3: Devil's Garden,Tobruk Expansion Pack 4: Blunted Sword,Tobruk Expansion Pack 5A: Kasserine & Beyond,Tobruk Expansion Pack 5b: Torch to Tunisia,Tobruk Expansion Pack 6: Killing Fields","Advanced Tobruk System,Country: Libya","Hex-and-Counter,Modular Board","Critical Hit, Inc.,Kokusai-Tsushin Co., Ltd. (国際通信社)",7.38319,206,1970
3993,"Necromancer is a fantasy game for two players. Each player becomes a Necromancer - a powerful wizard controlling the forces of the undead. As their skeletons and zombies battle, the Necromancers use their powers to take control of enemy units! The goal: to find the mystic Jewels of Power - and destroy the enemy Necromancer.&#10;&#10;A unique combat system varies the power of a player's troops according to the number of units he controls; the more undead you control, the weaker each unit is. All counters are back-printed, since any unit may change sides.&#10;&#10;(from the back of the box)&#10;&#10;Originally published in The Space Gamer #55, September 1982.&#10;&#10;",//cf.geekdo-images.com/images/pic69331.jpg,2,60,12,2,60,Necromancer,60,//cf.geekdo-images.com/images/pic69331_t.jpg,1982,"John Borkowski,Jeffrey D. George,Denis Loubet,Dave Martin","Fantasy,Horror,Wargame",,Allen Varney,,Magazine: Space Gamer,Hex-and-Counter,Steve Jackson Games,5.95486,72,1970
3998,"In Fortune, each player makes money by buying plants, fuel and computers with which to produce goods.  Such goods are distributed by one of a number of distributors, depending on how much you are selling.  Players may also make money by becoming major shareholders in any of the distribution or service firms around the board.  Special dice are used for takeovers.  Players may also buy insurance, consultancy and advertisement to insure against any loss, improve their sales or assist their business's effectiveness.&#10;&#10;The winner is decided by predetermined conditions; either playing for a set time or reaching a monetary target.&#10;&#10;",//cf.geekdo-images.com/images/pic329539.jpg,8,180,12,3,180,Fortune,180,//cf.geekdo-images.com/images/pic329539_t.jpg,1976,,"Economic,Environmental,Industry / Manufacturing",,"Richard Fenwick,N. Lebon",,,"Roll / Spin and Move,Set Collection,Stock Holding,Trading","Ariel,Borras Plana S.A.,Bütehorn Spiele,Clipper,Editions Fenwick,Editrice Giochi,Gibsons Games,Hexagames (I),Pressman Toy Corp.,Schmidt Spiele,Waddington's Games, Inc.",6.04508,122,1970
4000,"From the back of the box:&#10;&#10;&quot;SCAN is a family game for 2 to 8 players, Ages 9 and up.  It contains two identical decks of cards printed with distinctive markings.  To start SCAN, a card in the holder is turned up and players try to be first to locate identical markings on the other set of cards which are spread out on the table.  SCAN is tense and exciting, requiring concentration and quick reactions to be a winner.&quot;&#10;&#10;This is one of those Parker Brothers card games of the late 60s/early 70s. Ages 9 to adult. The object is to &quot;Collect the greatest number of tan cards by correctly matching designs.&quot; The game consists of 23 tan cards, 23 blue cards, a little red tray, a cover card, three &quot;bluffo&quot; cards, and the instructions.&#10;&#10;It is essentially a matching game. A tan card with four complicated patterns on it is revealed, and after deciding which of the four designs you're matching, you have to find the corresponding blue card before your opponent(s) do. If you find it, you get to keep the tan card. The person with the most tan cards wins.&#10;&#10;",//cf.geekdo-images.com/images/pic247776.jpg,8,30,9,2,30,Scan,30,//cf.geekdo-images.com/images/pic247776_t.jpg,1970,,"Action / Dexterity,Card Game,Party Game",,Marvin Glass,,,Pattern Recognition,Parker Brothers,5.66481,81,1970
4001,"Space Marine is a miniatures wargame set in the Warhammer 40,000 universe. This game in both its editions was the flagship of Games Workshop Ltd.'s Epic scale (6 mm) miniatures games until they were replaced by Warhammer Epic 40,000 which worked at the same scales but had all new mechanics. Both first and second editions were sold as box sets which contained rules, scenery and enough miniatures for two armies.&#10;  &#10;First edition subtitled Epic Battles in the Age of Heresy was set in a much earlier time period than Warhammer 40,000. It featured Space Marines versus Space Marines in a civil war. The game could be combined with the previous published Adeptus Titanicus which featured Titans, giant robots, in the same 6 mm scale. Ork and Eldar models were also released, with rules for them in the Codex Titanicus expansion.&#10;&#10;Second edition was subtitled Epic Conflict in the War Torn Universe of the 41st Millenium and brought the setting into the standard era of Warhammer 40,000. It was radically revised but still fundamentally the same system, unlike the latter version of the Epic range. The new edition included Orks, Eldar and Titans in the base rules. These and other new races were greatly expanded in latter supplements.&#10;&#10;First Edition expansions and compatible games:&#10;&#10;    Adeptus Titanicus (1988) - also a stand alone game.&#10;    Codex Titanicus&#10;&#10;&#10;&#10;&#10;Second Edition expansions and compatible games:&#10;&#10;    Armies of the Imperium: Space Marines and Imperial Guard (1991)&#10;    Renegades: Eldar and Chaos Armies for Space Marine (1992)&#10;    Ork and Squat Warlords (1992)&#10;    Space Marine Battles (1993)&#10;    Titan Legions (1994) - also a stand alone game.&#10;    Hive War:Tyranids (1995)&#10;&#10;&#10;&#10;&#10;Later Editions of the Epic system:&#10;&#10;    Warhammer Epic 40,000 - 3rd Edition  (1998)&#10;    Epic Armageddon - 4th Edition (2004)&#10;    NetEpic - unofficial continuation of 2nd Edition (1997)&#10;    Heresy - unofficial rules in same scale and setting, designed to be a grittier wargame.&#10;&#10;&#10;&#10;&#10;",//cf.geekdo-images.com/images/pic805134.jpg,3,120,12,2,120,Space Marine,120,//cf.geekdo-images.com/images/pic805134_t.jpg,1989,"Dave Andrews,Paul Bonner,Jim Burns,Gary Chalk,Mark Craven,Wayne England,Jes Goodwin,Gary Harrod,Tony Hough,Colin Howard,Martin McKenna,Bob Naismith,Russ Nicholson,Bill Sedgwick,Adrian Smith,Stephen Tappin,Kevin Walker,Richard Wright","Miniatures,Science Fiction,Wargame",,"Graeme Davis,Jervis Johnson","Armies of the Imperium,Codex Titanicus,Hive War,Ork and Squat Warlords,Renegades:  Eldar and Chaos Armies for Space Marine,Space Marine Battles","Games Workshop Specialist Games,Warhammer 40,000 Wargames","Dice Rolling,Simultaneous Action Selection,Variable Player Powers",Games Workshop Ltd.,6.75071,435,1970
4004,"Catch the Golden Snitch, Score and Match.  The Card game tries to recreate the Quidditch matches that appeared in the Harry potter series.  The game contains three decks, the blue Pitch Deck, the red Gryffindor Team Deck and green Slytherin team Deck.  Through the cards, a ball is pitched into play.  To win a ball, the players must play a card with a higher number on it.  There are also some special card that change the game play a little.&#10;&#10;",//cf.geekdo-images.com/images/pic207290.jpg,2,60,8,2,60,Harry Potter and the Sorcerer's Stone Quidditch Card Game,60,//cf.geekdo-images.com/images/pic207290_t.jpg,2000,,"Card Game,Children's Game,Fantasy,Movies / TV / Radio theme,Novel-based",,Amanda Birkinshaw,,"Fantasy Sports,Harry Potter",Hand Management,Mattel,4.09513,207,1970
4008,"From the introduction:&#10;&#10;Cobra - Game of the Normandy Breakout , is a regimental/divisional scale simulation of the allied break-out from the Normandy peninsula in the summer of 1944, which culminated in the encirclement of some 160,000 German troops in the &quot;Falaise Pocket.&quot; Each game-turn is equivalent to three days of real time, and each hex represents a distance (across) of 3.2 kilometers.&#10;&#10;",//cf.geekdo-images.com/images/pic621252.jpg,2,120,12,2,120,Cobra,120,//cf.geekdo-images.com/images/pic621252_t.jpg,1977,"Larry Elmore,Nicolás Eskubi,Ivor M. Janci,Redmond A. Simonsen,Masahiro Yamazaki","Wargame,World War II",,"Brad Hessel,David James Ritchie",,"Magazine: Strategy & Tactics,Panzergruppe Guderian System","Hex-and-Counter,Simulation","Nike and Cooper Española, S.A.,Six Angles,SPI (Simulations Publications, Inc.),TSR",6.68845,277,1970
4009,"Breitenfeld is one of the Thirty Years War Quadrigames. This one appeared in Strategy &amp; Tactics magazine #55, March/April 1976.&#10;&#10;From the introduction:&#10;The Thirty Years War game system is an operational simulation of warfare in Europe during the fist half of the seventeenth century. Each game in the system is based on one of the more significant and interesting battles of the period. The playing pieces represent the armies which took part in the battles, and the map represents the terrain over which those armies fought.&#10;&#10;(Ok, so it doesn't give away any secrets...)&#10;&#10;turn: 45 minutes&#10;hex: 175 meters&#10;strength point: 75-100 men&#10;Leaders are represented by separate units.&#10;&#10;The map has starting locations printed on the map for each unit. Terrain includes lane, marsh, road. town, forest, river, and crest.&#10;&#10;",//cf.geekdo-images.com/images/pic64715.jpg,2,120,12,2,120,Breitenfeld,120,//cf.geekdo-images.com/images/pic64715_t.jpg,1976,Redmond A. Simonsen,"Pike and Shot,Wargame",,J. A. Nelson,,"Age of Kings,Magazine: Strategy & Tactics",Hex-and-Counter,"Hobby Japan,SPI (Simulations Publications, Inc.)",6.45556,162,1970
4011,"Jerusalem is the boardgame of the 1948 conflict in which Israel established itself as a nation. The tactical battle has the Jewish forces attempting to keep open or bypass with a new road, the only source of food for the city.&#10;&#10;In Jerusalem, the players do not merely move, but conduct an operation. This creates a unique flow of play which gives a true feel for the disjointed and desperate battle of the Jews to keep open the one road to the Holy City. Included are units for all the invading armies, Arab guerrillas, el Katub (the mad bomber), the Palmach, Haganah, Irgun, and Stern Gangs. The Israeli player even has the option of building the now famous road in this amazingly accurate and exciting simulation of the nearly aborted birth of the Israeli nation&#10;&#10;1st edition published in 1975 by SDC (Simulations Design Corporation).&#10;2nd edition published in 1982 by Mayfair Games.&#10;3rd edition published in 2007 by Cool Stuff Unlimited. This edition includes a new Latrun Road scenario.&#10;&#10;",//cf.geekdo-images.com/images/pic486646.jpg,2,180,12,2,180,Jerusalem,180,//cf.geekdo-images.com/images/pic486646_t.jpg,1975,Jim Clouse,"Modern Warfare,Wargame",,John Hill (I),,Cities: Jerusalem (Israel),Hex-and-Counter,"Cool Stuff Unlimited,Mayfair Games,SDC (Simulations Design Corporation)",6.9541,61,1970
4014,"Dawn Patrol recreates the thrilling dogfights and air battles fought during The Great War.  Each player controls an airplane in a fiery test of his or her skill and nerve.  (32 pages of rules and 32 pages of charts, but none too difficult.)&#10;&#10;There is a role-playing element to the game, as if a pilot survives a mission, the next time a player flies the same aircraft, the player may use that now experienced pilot, who has some advantages over rookie pilots.  These advantages grow if the pilot survives more missions and claims more kills.&#10;&#10;Dawn Patrol is an update of the earlier Fight in the Skies.&#10;&#10;The game has an active club, The Fight in Skies Society, which hosts one or two weekends of play in the Midwest each year and publishes The Aerodrome two to four times each year.&#10;&#10;Fight in the Skies/Dawn Patrol is the only game to have been played at every GenCon and is a featured event at GaryCon.&#10;&#10;Re-Implements:&#10;&#10;    Fight in the Skies&#10;&#10;&#10;&#10;&#10;",//cf.geekdo-images.com/images/pic164435.jpg,52,60,12,2,60,Dawn Patrol,60,//cf.geekdo-images.com/images/pic164435_t.jpg,1982,"R. Anderson,Darlene,Mike Hagel,Harry Quinn,Stephen Sullivan","Aviation / Flight,Wargame,World War I",,Mike Carr,,,"Dice Rolling,Hex-and-Counter,Role Playing,Simultaneous Action Selection,Variable Player Powers",TSR,6.68404,260,1970
4020,"In November of 1942, the Anglo-Allied 1st Army had landed in French Northwest Africa, deep behind the front lines of the struggle then raging between the AFRIKA KORPS and the British 8th Army. The two combatants clashed in northern Tunisia in a race to take Tunis the main supply port. &#10;These were unusual battles, fought by handfuls of troops. The AXIS won the race but only barely and the Allies let an opportunity to capture all of North Africa slip in a single blow.&#10;&#10;(11 pages of rules + a history of the battle).&#10;&#10;Can be linked with GDW's Bloody Kasserine.&#10;&#10;A standard scenario starts November 17 and ends December 24 in 1942.&#10;&#10;",//cf.geekdo-images.com/images/pic11860.jpg,2,120,12,2,120,Race For Tunis,120,//cf.geekdo-images.com/images/pic11860_t.jpg,1992,"LaMont Fullerton,Kirk Wescom","Wargame,World War II",,Frank Chadwick,,Country: Tunisia,Hex-and-Counter,"GDW Games,Kokusai-Tsushin Co., Ltd. (国際通信社)",6.44796,98,1970
