publisher,page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first_appearance,month,year,date
Marvel,1772,Elizabeth Brant (Earth-616),\/Elizabeth_Brant_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,599.0,"1963, September",September,1963.0,1963-09-01
Marvel,1896,Richard Jones (Earth-616),\/Richard_Jones_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,590.0,"1962, May",May,1962.0,1962-05-01
Marvel,1496,Edwin Jarvis (Earth-616),\/Edwin_Jarvis_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,567.0,"1964, November",November,1964.0,1964-11-01
Marvel,1802,Alexander Summers (Earth-616),\/Alexander_Summers_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,558.0,"1969, March",March,1969.0,1969-03-01
Marvel,1811,Patricia Walker (Earth-616),\/Patricia_Walker_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,,Living Characters,550.0,"1944, November",November,1944.0,1944-11-01
Marvel,1836,Human Torch (Android) (Earth-616),\/Human_Torch_(Android)_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,548.0,"1939, October",October,1939.0,1939-10-01
Marvel,2042,Loki Laufeyson (Earth-616),\/Loki_Laufeyson_(Earth-616),No Dual Identity,,Green Eyes,Black Hair,Genderfluid Characters,Bisexual Characters,Living Characters,532.0,"1949, August",August,1949.0,1949-08-01
Marvel,1643,Franklin Nelson (Earth-616),\/Franklin_Nelson_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,528.0,"1964, April",April,1964.0,1964-04-01
Marvel,1285,Brian Braddock (Earth-616),\/Brian_Braddock_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,528.0,"1976, October",October,1976.0,1976-10-01
Marvel,1453,Otto Octavius (Earth-616),\/Otto_Octavius_(Earth-616),Secret Identity,,Hazel Eyes,Brown Hair,Male Characters,,Deceased Characters,526.0,"1963, July",July,1963.0,1963-07-01
Marvel,6194,James Rhodes (Earth-616),\/James_Rhodes_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,525.0,"1979, January",January,1979.0,1979-01-01
Marvel,1487,Timothy Dugan (Earth-616),\/Timothy_Dugan_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Deceased Characters,517.0,"1963, May",May,1963.0,1963-05-01
Marvel,1380,Crystalia Amaquelin (Earth-616),\/Crystalia_Amaquelin_(Earth-616),Public Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,512.0,"1965, December",December,1965.0,1965-12-01
Marvel,1613,Samuel Wilson (Earth-616),\/Samuel_Wilson_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,512.0,"1969, September",September,1969.0,1969-09-01
Marvel,1931,Wilson Fisk (Earth-616),\/Wilson_Fisk_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Living Characters,503.0,"1967, July",July,1967.0,1967-07-01
Marvel,1596,Odin Borson (Earth-616),\/Odin_Borson_(Earth-616),Public Identity,,Blue Eyes,White Hair,Male Characters,,Living Characters,502.0,"1962, October",October,1962.0,1962-10-01
Marvel,1409,Deadpool (Wade Wilson),\/Deadpool_(Wade_Wilson),Secret Identity,,Brown Eyes,Bald,Male Characters,Transvestites,Living Characters,500.0,"1991, February",February,1991.0,1991-02-01
Marvel,1187,Dane Whitman (Earth-616),\/Dane_Whitman_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,478.0,"1967, December",December,1967.0,1967-12-01
Marvel,1741,Harold Osborn (Earth-616),\/Harold_Osborn_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,474.0,"1965, December",December,1965.0,1965-12-01
Marvel,68416,Franklin Richards (Earth-616),\/Franklin_Richards_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,473.0,"1968, November",November,1968.0,1968-11-01
Marvel,2589,Jessica Drew (Earth-616),\/Jessica_Drew_(Earth-616),Secret Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,,Living Characters,471.0,"1977, February",February,1977.0,1977-02-01
Marvel,2626,Roberto da Costa (Earth-616),\/Roberto_da_Costa_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,464.0,"1982, November",November,1982.0,1982-11-01
Marvel,2007,Rahne Sinclair (Earth-616),\/Rahne_Sinclair_(Earth-616),Secret Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,448.0,"1982, November",November,1982.0,1982-11-01
Marvel,1130,Elizabeth Ross (Earth-616),\/Elizabeth_Ross_(Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,446.0,"1962, May",May,1962.0,1962-05-01
Marvel,2278,Lorna Dane (Earth-616),\/Lorna_Dane_(Earth-616),Secret Identity,Good Characters,Green Eyes,Green Hair,Female Characters,,Living Characters,433.0,"1968, October",October,1968.0,1968-10-01
Marvel,67048,Blaine Colt (Earth-616),\/Blaine_Colt_(Earth-616),Public Identity,,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,429.0,"NA, NA",,,
Marvel,1705,Johnathon Blaze (Earth-616),\/Johnathon_Blaze_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Reddish Blond Hair,Male Characters,,Living Characters,426.0,"1972, August",August,1972.0,1972-08-01
Marvel,2550,Sif (Earth-616),\/Sif_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,422.0,"1964, March",March,1964.0,1964-03-01
Marvel,2365,Red Hulk (Thaddeus Ross),\/Red_Hulk_(Thaddeus_Ross),Public Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,415.0,"1962, May",May,1962.0,1962-05-01
Marvel,1900,Jubilation Lee (Earth-616),\/Jubilation_Lee_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,408.0,"1989, May",May,1989.0,1989-05-01
Marvel,2420,Volstagg (Earth-616),\/Volstagg_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,406.0,"1965, August",August,1965.0,1965-08-01
Marvel,1127,Balder Odinson (Earth-616),\/Balder_Odinson_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,403.0,"1962, October",October,1962.0,1962-10-01
Marvel,1676,Galactus (Earth-616),\/Galactus_(Earth-616),Secret Identity,,Brown Eyes,No Hair,Male Characters,,Living Characters,390.0,"1966, March",March,1966.0,1966-03-01
Marvel,1395,Danielle Moonstar (Earth-616),\/Danielle_Moonstar_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,388.0,"1982, November",November,1982.0,1982-11-01
Marvel,2183,Marc Spector (Earth-616),\/Marc_Spector_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,387.0,"1975, August",August,1975.0,1975-08-01
Marvel,1782,Gwendolyne Stacy (Earth-616),\/Gwendolyne_Stacy_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,384.0,"1965, December",December,1965.0,1965-12-01
Marvel,2137,Medusalith Amaquelin (Earth-616),\/Medusalith_Amaquelin_(Earth-616),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,382.0,"1965, March",March,1965.0,1965-03-01
Marvel,2374,Sabretooth (Victor Creed),\/Sabretooth_(Victor_Creed),Secret Identity,Bad Characters,Amber Eyes,Blond Hair,Male Characters,,Living Characters,382.0,"1977, August",August,1977.0,1977-08-01
Marvel,2077,Illyana Rasputina (Earth-616),\/Illyana_Rasputina_(Earth-616),Secret Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,380.0,"1975, May",May,1975.0,1975-05-01
Marvel,2344,Johann Shmidt (Earth-616),\/Johann_Shmidt_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,376.0,"1941, August",August,1941.0,1941-08-01
Marvel,1616,Fandral (Earth-616),\/Fandral_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Deceased Characters,375.0,"1965, August",August,1965.0,1965-08-01
Marvel,1131,Sean Cassidy (Earth-616),\/Sean_Cassidy_(Earth-616),Secret Identity,,Green Eyes,Strawberry Blond Hair,Male Characters,,Living Characters,374.0,"1967, January",January,1967.0,1967-01-01
Marvel,2487,Thomas Raymond (Earth-616),\/Thomas_Raymond_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,373.0,"1940, September",September,1940.0,1940-09-01
Marvel,1572,Uatu (Earth-616),\/Uatu_(Earth-616),Public Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,373.0,"1963, April",April,1963.0,1963-04-01
Marvel,2239,Richard Rider (Earth-616),\/Richard_Rider_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,373.0,"1976, September",September,1976.0,1976-09-01
Marvel,1827,Hogun (Earth-616),\/Hogun_(Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,,Living Characters,371.0,"1965, August",August,1965.0,1965-08-01
Marvel,55878,Raven Darkholme (Earth-616),\/Raven_Darkholme_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,Red Hair,Female Characters,Bisexual Characters,Living Characters,371.0,"1978, April",April,1978.0,1978-04-01
Marvel,2173,Barbara Morse (Earth-616),\/Barbara_Morse_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,368.0,"1971, June",June,1971.0,1971-06-01
Marvel,1179,Blackagar Boltagon (Earth-616),\/Blackagar_Boltagon_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,366.0,"1965, December",December,1965.0,1965-12-01
Marvel,2392,Brunnhilde (Earth-616),\/Brunnhilde_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,361.0,"1970, December",December,1970.0,1970-12-01
Marvel,1404,Alison Blaire (Earth-616),\/Alison_Blaire_(Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,353.0,"1980, February",February,1980.0,1980-02-01
Marvel,18186,Venom (Symbiote) (Earth-616),\/Venom_(Symbiote)_(Earth-616),Known to Authorities Identity,,Variable Eyes,No Hair,Agender Characters,,Living Characters,348.0,"1984, May",May,1984.0,1984-05-01
Marvel,1586,John Walker (Earth-616),\/John_Walker_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,346.0,"1986, November",November,1986.0,1986-11-01
Marvel,2440,Greer Grant (Earth-616),\/Greer_Grant_(Earth-616),Public Identity,Good Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,342.0,"1972, November",November,1972.0,1972-11-01
Marvel,2185,Karla Sofen (Earth-616),\/Karla_Sofen_(Earth-616),Public Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,340.0,"1975, December",December,1975.0,1975-12-01
Marvel,2382,William Baker (Earth-616),\/William_Baker_(Earth-616),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,338.0,"1963, September",September,1963.0,1963-09-01
Marvel,1300,Sharon Carter (Earth-616),\/Sharon_Carter_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,332.0,"1966, March",March,1966.0,1966-03-01
Marvel,1180,Felicia Hardy (Earth-616),\/Felicia_Hardy_(Earth-616),Public Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,332.0,"1979, July",July,1979.0,1979-07-01
Marvel,1901,Cain Marko (Earth-616),\/Cain_Marko_(Earth-616),Public Identity,,Blue Eyes,Red Hair,Male Characters,,Living Characters,329.0,"1965, July",July,1965.0,1965-07-01
Marvel,37751,Monica Rambeau (Earth-616),\/Monica_Rambeau_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,327.0,"NA, NA",,,
Marvel,20978,Maria Hill (Earth-616),\/Maria_Hill_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,325.0,"2005, April",April,2005.0,2005-04-01
Marvel,1161,Ben Urich (Earth-616),\/Ben_Urich_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,324.0,"1978, July",July,1978.0,1978-07-01
Marvel,2182,Heather Douglas (Earth-616),\/Heather_Douglas_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Female Characters,Bisexual Characters,Living Characters,323.0,"1973, January",January,1973.0,1973-01-01
Marvel,100209,Millicent Collins (Earth-616),\/Millicent_Collins_(Earth-616),Public Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,321.0,"1945, December",December,1945.0,1945-12-01
Marvel,1973,James Proudstar (Earth-616),\/James_Proudstar_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,320.0,"1984, June",June,1984.0,1984-06-01
Marvel,1633,Angelica Jones (Earth-616),\/Angelica_Jones_(Earth-616),Known to Authorities Identity,Good Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,319.0,"1985, May",May,1985.0,1985-05-01
Marvel,11857,Edward Brock (Earth-616),\/Edward_Brock_(Earth-616),Public Identity,,Black Eyes,Blond Hair,Male Characters,,Living Characters,318.0,"1986, September",September,1986.0,1986-09-01
Marvel,2513,MacDonald Gargan (Earth-616),\/MacDonald_Gargan_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,,Living Characters,317.0,"1964, December",December,1964.0,1964-12-01
Marvel,2146,Mephisto (Earth-616),\/Mephisto_(Earth-616),No Dual Identity,Bad Characters,White Eyes,Black Hair,Male Characters,,Living Characters,316.0,"1968, December",December,1968.0,1968-12-01
Marvel,7630,Tabitha Smith (Earth-616),\/Tabitha_Smith_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,316.0,"1985, November",November,1985.0,1985-11-01
Marvel,2238,Jean-Paul Beaubier (Earth-616),\/Jean-Paul_Beaubier_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,313.0,"1979, April",April,1979.0,1979-04-01
Marvel,1706,Daniel Ketch (Earth-616),\/Daniel_Ketch_(Earth-616),Secret Identity,,Green Eyes,Brown Hair,Male Characters,,Living Characters,311.0,"1990, May",May,1990.0,1990-05-01
Marvel,1460,Neena Thurman (Earth-616),\/Neena_Thurman_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,310.0,"1992, March",March,1992.0,1992-03-01
Marvel,2010,Wong (Earth-616),\/Wong_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,306.0,"1963, July",July,1963.0,1963-07-01
Marvel,2456,Thanos (Earth-616),\/Thanos_(Earth-616),No Dual Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Living Characters,306.0,"1973, February",February,1973.0,1973-02-01
Marvel,15282,Shang-Chi (Earth-616),\/Shang-Chi_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,296.0,"1973, December",December,1973.0,1973-12-01
Marvel,4704,Alicia Masters (Earth-616),\/Alicia_Masters_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Strawberry Blond Hair,Female Characters,,Living Characters,293.0,"1962, November",November,1962.0,1962-11-01
