gutenberg_id,text,title,gutenberg_author_id,author,birthdate,deathdate,wikipedia,aliases,_art_year
15552,[Illustration: Christmas Outside of Eden--Book Cover],Christmas Outside of Eden,2497,"Dawson, Coningsby",1883.0,1959.0,https://en.wikipedia.org/wiki/Coningsby_Dawson,"Dawson, Coningsby W. (Coningsby William)/Dawson, Coningsby William",1970.0
15709,By Abbie Farwell Brown,The Christmas Angel,5282,"Brown, Abbie Farwell",1871.0,1927.0,https://en.wikipedia.org/wiki/Abbie_Farwell_Brown,,1970.0
15826,UNCLE NOAH'S CHRISTMAS INSPIRATION,Uncle Noah's Christmas Inspiration,6328,"Dalrymple, Leona",1884.0,1968.0,https://en.wikipedia.org/wiki/Leona_Dalrymple,"Dalrymple, C. Leona",1970.0
16454,"[Illustration: ""That figure was not his own.""",The Upas Tree: A Christmas Story for all the Year,1253,"Barclay, Florence L. (Florence Louisa)",1862.0,1921.0,https://en.wikipedia.org/wiki/Florence_L._Barclay,"Barclay, Florence Louisa (Charlesworth), Mrs./Roy, Brandon",1970.0
17006,"THE TWO CHRISTMAS CELEBRATIONS,",Two Christmas Celebrations,7088,"Parker, Theodore",1810.0,1860.0,https://en.wikipedia.org/wiki/Theodore_Parker,"Blodgett, Levi",1970.0
17743,ROSEMARY: A CHRISTMAS STORY,Rosemary: A Christmas story,3522,"Williamson, C. N. (Charles Norris)",1859.0,1920.0,https://en.wikipedia.org/wiki/Charles_Norris_Williamson,"Williamson, Charles Norris",1970.0
17937,"     [Illustration: ""_Mrs. Gratz watched the thin man search the",The Thin Santa Claus: The Chicken Yard That Was a Christmas Stocking,585,"Butler, Ellis Parker",1869.0,1937.0,https://en.wikipedia.org/wiki/Ellis_Parker_Butler,,1970.0
18770,[Transcriber's note: Irregularities in punctuation which were present,"A Christmas Story
Man in His Element: or, A New Way to Keep House",8241,"Francis, Samuel W. (Samuel Ward)",1835.0,1886.0,https://en.wikipedia.org/wiki/Samuel_Ward_Francis,"Francis, Samuel Ward/Syntax, Samuel",1970.0
19384,  [Illustration:,On Christmas Day In The Evening,2216,"Richmond, Grace S. (Grace Smith)",1866.0,1959.0,https://en.wikipedia.org/wiki/Grace_S._Richmond,"Smith, Grace",1970.0
20018,Transcriber's note:,"Evenings at Donaldson Manor; Or, The Christmas Guest",9034,"McIntosh, Maria J. (Maria Jane)",1803.0,1878.0,https://en.wikipedia.org/wiki/Maria_Jane_McIntosh,"McIntosh, Maria Jane/McIntosh, M. J. (Maria Jane)/M'Intosh, M. J. (Maria Jane)/M'Intosh, Maria",1970.0
20180,           [Illustration: A SILENT GROUP ABOUT THE HEARTH.],Mr. Kris Kringle: A Christmas Tale,357,"Mitchell, S. Weir (Silas Weir)",1829.0,1914.0,https://en.wikipedia.org/wiki/Silas_Weir_Mitchell,"Mitchell, Weir/Mitchell, Silas Weir",1970.0
20210,[Illustration: Queen Elizabeth going to Whitehall through,Shakespeare's Christmas Gift to Queen Bess,9154,"McMahan, Anna Benneson",,,,,
20251,  [Transcriber's Note:,"Christmas Comes but Once a Year
Showing What Mr. Brown Did, Thought, and Intended to Do, During That Festive Season.",9186,"Leighton, John",1822.0,1912.0,https://en.wikipedia.org/wiki/John_Leighton_(artist),"Limner, Luke",1970.0
20453,  THE CHRISTMAS,The Christmas Child,2440,"Stretton, Hesba",1832.0,1911.0,https://en.wikipedia.org/wiki/Hesba_Stretton,"Smith, Sarah",1970.0
20516,CHRISTMAS,Christmas: A Story,3531,"Gale, Zona",1874.0,1938.0,https://en.wikipedia.org/wiki/Zona_Gale,"Breese, William Llywelyn, Mrs./Breese, William Lleywelyn, Mrs.",1970.0
22665,CHRISTIAN GELLERT'S LAST CHRISTMAS,"Christian Gellert's Last Christmas
From ""German Tales"" Published by the American Publishers' Corporation",8194,"Auerbach, Berthold",1812.0,1882.0,https://en.wikipedia.org/wiki/Berthold_Auerbach|https://de.wikipedia.org/wiki/Berthold_Auerbach,"Baruch, Moses",1970.0
23569,THE MERRYVALE BOYS,"Christmas Holidays at Merryvale
The Merryvale Boys",7166,"Burnett, Alice Hale",,,https://en.wikipedia.org/wiki/Alice_Hale_Burnett,,
32455,CHRISTMAS EVE AND CHRISTMAS DAY.,Christmas Eve and Christmas Day: Ten Christmas stories,650,"Hale, Edward Everett",1822.0,1909.0,https://en.wikipedia.org/wiki/Edward_Everett_Hale,"Ingham, Frederic/Darragh, J. Thomas/Hale, E. E. (Edward Everett)/Hale, Edward E.",1970.0
37547,  [Illustration: Cover],The Fairies and the Christmas Child,38912,"Gask, Lilian",1865.0,,https://en.wikipedia.org/wiki/Lilian_Gask,,1970.0
38983,                          The Camp Fire Girls,"The Camp Fire Girls Solve a Mystery; Or, The Christmas Adventure at Carver House",2241,"Frey, Hildegard G.",1891.0,1957.0,,"Frey, Hildegard G. (Hildegard Gertrude)/Frey, Hildegarde G.",1970.0
42923,                       THE DOCTOR'S CHRISTMAS EVE,The Doctor's Christmas Eve,869,"Allen, James Lane",1849.0,1925.0,https://en.wikipedia.org/wiki/James_Lane_Allen,,1970.0
44796,THE PRODIGAL VILLAGE,The Prodigal Village: A Christmas Tale,4001,"Bacheller, Irving",1859.0,1950.0,https://en.wikipedia.org/wiki/Irving_Bacheller,"Bacheller, Addison Irving",1970.0
52935,[Illustration],Mr. Blake's Walking-Stick: A Christmas Story for Boys and Girls,3293,"Eggleston, Edward",1837.0,1902.0,https://en.wikipedia.org/wiki/Edward_Eggleston,,1970.0
