call_sign,frequency,city,licensee,format,state,facility_id,service,licensee_call_sign_r,status,details
WBHP,1230 AM,Huntsville,"iHM Licenses, LLC",Talk,Alabama,,,,,
WBHY,840 AM,Mobile,"Goforth Media, Inc.",Christian Talk,Alabama,,,,,
WBHY-FM,88.5 FM,Mobile,"Goforth Media, Inc.",Contemporary Christian,Alabama,,,,,
WBIB,1110 AM,Centreville,James Deloach,Southern gospel,Alabama,,,,,
WBLX-FM,92.9 FM,Mobile,Cumulus Licensing LLC,Mainstream urban,Alabama,2540.0,FM,CUMULUS LICENSING LLC,LICENSED,Click for Details
WBMH,106.1 FM,Grove Hill,"Pine City Radio, LLC",Classic country,Alabama,,,,,
WBNB,91.3 FM,Equality,The Power Foundation,Southern gospel (The Life FM),Alabama,,,,,
WBPT,106.9 FM,Homewood,"SM-WBPT, LLC",Classic rock,Alabama,,,,,
WBSA,1300 AM,Boaz,"Watkins Broadcasting, Inc.",Christian/Southern gospel,Alabama,,,,,
WBTG,1290 AM,Sheffield,"Slatton & Associates Broadcasters, Inc.",Southern gospel,Alabama,,,,,
WBTG-FM,106.3 FM,Sheffield,"Slatton & Associates Broadcasters, Inc.",Southern gospel,Alabama,,,,,
WBXR,1140 AM,Hazel Green,"New England Communications, Inc.",Christian talk,Alabama,,,,,
WBZR-FM,105.9 FM,Atmore,Tri-County Broadcasting Inc.,Country,Alabama,,,,,
WCKA,810 AM,Jacksonville,"Alabama 810, LLC",Classic country,Alabama,,,,,
WCKF,100.7 FM,Ashland,"WCKF, L.L.C.",Country,Alabama,,,,,
WCKS,102.7 FM,Fruithurst,"WCKS, LLC",Top 40 (CHR),Alabama,,,,,
WCOC-LP,103.5 FM,Jacksonville,The Jacksonville Church of Christ,Gospel Broadcasting Network (GBN) programming,Alabama,,,,,
WCRL,1570 AM,Oneonta,"Our Town Radio, Inc.",Classic hits,Alabama,,,,,
WCSN-FM,105.7 FM,Orange Beach,Gulf Coast Broadcasting Co. Inc.,Classic hits,Alabama,,,,,
WDBT,103.9 FM,Fort Rucker,"Gulf South Communications, Inc.",News/Talk,Alabama,63945.0,FM,"GULF SOUTH COMMUNICATIONS, INC.",LICENSED,Click for Details
WDIG,1450 AM,Dothan,Larry Williams,Oldies,Alabama,,,,,
WDJC-FM,93.7 FM,Birmingham,"Kimtron, Inc.",Contemporary Christian,Alabama,34819.0,FM,"KIMTRON, INC.",LICENSED,Click for Details
WDJL,1000 AM,Huntsville,"Gospel Explosion Ministries, LLC",Urban contemporary,Alabama,,,,,
WDJR,96.9 FM,Hartford,"Gulf South Communications, Inc.",Classic country,Alabama,,,,,
WDLG,90.1 FM,Grove Hill,La Promesa Foundation,Catholic,Alabama,,,,,
WDLT-FM,104.1 FM,Saraland,Cumulus Licensing LLC,Urban AC/Southern Blues,Alabama,8680.0,FM,CUMULUS LICENSING LLC,LICENSED,Click for Details
WDNG,1450 AM,Anniston,"Lake Broadcasting, Inc.",Classic rock,Alabama,,,,,
WDRM,102.1 FM,Decatur,"iHM Licenses, LLC",Country,Alabama,44024.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WDSA,1320 AM,Dothan,"Wilson Broadcasting Co., Inc.",Urban talk,Alabama,,,,,
WDWZ,89.3 FM,Andalusia,B. Jordan Communications Corporation,News/Talk,Alabama,,,,,
WDXB,102.5 FM,Pelham,"iHM Licenses, LLC",Country,Alabama,2114.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WDXX,100.1 FM,Selma,"Broadsouth Communications, Inc.",Country,Alabama,,,,,
WDYF,90.3 FM,Dothan,"Faith Broadcasting, Inc",Christian,Alabama,,,,,
WDZK-LP,101.7 FM,Madison,Madison County Veterans Association,Contemporary Christian,Alabama,,,,,
WEBJ,1240 AM,Brewton,"Brewton Broadcasting, Inc.",News/Talk,Alabama,,,,,
WEBT,91.5 FM,Langdale,Langdale Educational Broadcasting Foundation,Christian,Alabama,,,,,
WECB,105.3 FM,Headland,"Alabama Media, LLC",Country,Alabama,,,,,
WEGL,91.1 FM,Auburn,Board of Trustees Auburn University,Variety,Alabama,,,,,
WEIS,990 AM,Centre,"Baker Enterprises, Inc.",Country/Southern gospel,Alabama,,,,,
WELB,1350 AM,Elba,Rhett S. Snellgrove,Southern gospel,Alabama,,,,,
WELL-FM,88.7 FM,Waverly,"Alabama Christian Radio, Inc.",Contemporary Christian,Alabama,,,,,
WELR-FM,102.3 FM,Roanoke,"Eagle's Nest, Inc.",Country,Alabama,,,,,
WENN,1320 AM,Birmingham,"SM-WENN, LLC",Urban adult contemporary (WBHK),Alabama,,,,,
WERC,960 AM,Birmingham,"iHM Licenses, LLC",News/Talk,Alabama,,,,,
WERC-FM,105.5 FM,Hoover,"iHM Licenses, LLC",News/Talk,Alabama,62278.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WERM,1220 AM,Fairhope,"Eternity Media Group WERM, LLC",Urban gospel,Alabama,,,,,
WESP,102.5 FM,Dothan,"Alabama Media, LLC",Classic hits,Alabama,,,,,
WESZ-LP,98.7 FM,Abbeville,"Abbeville Broadcasting, Inc.",Oldies,Alabama,,,,,
WEUP,1700 AM,Huntsville,"Hundley Batts, Sr. & Virginia Caples",Urban contemporary gospel,Alabama,,,,,
WEUP-FM,103.1 FM,Moulton,"Hundley Batts, Sr. & Virginia Caples",Urban contemporary,Alabama,,,,,
WEUV,1190 AM,Moulton,"Hundley Batts, Sr. & Virginia Caples",Urban contemporary gospel,Alabama,,,,,
WFAZ,90.9 FM,Goodwater,First Assembly of God,Country gospel,Alabama,,,,,
WFEB,1340 AM,Sylacauga,"Lake Broadcasting, Inc.",Adult contemporary,Alabama,,,,,
WFFN,95.3 FM,Coaling,"Townsquare Media Tuscaloosa License, LLC",Country,Alabama,,,,,
WFHK,1430 AM,Pell City,"Stocks Broadcasting, Inc.",Adult contemporary,Alabama,,,,,
WFIX,91.3 FM,Florence,Tri-State Inspirational Broadcasting,Contemporary Christian,Alabama,,,,,
WFMA,102.9 FM,Marion,Educational Media Foundation,Contemporary Worship (Air1),Alabama,,,,,
WFMH,1340 AM,Cullman,"Jimmy Dale Media, LLC",Sports (WMCJ),Alabama,,,,,
WFMH-FM,95.5 FM,Hackleburg,T & T Communications Inc,Country,Alabama,,,,,
WFPA,1400 AM,Fort Payne,"J. Michael Wallace, dba Wallace Broadcasting Company",Silent,Alabama,,,,,
WFPW,91.1 FM,Battens Crossroads,"T.P. Arrington Educational Foundation, Inc.",,Alabama,,,,,
WFTP-LP,103.9 FM,Fort Payne,Fort Payne Church of Christ,Gospel Broadcasting Network (GBN) programming,Alabama,,,,,
WFXO,1050 AM,Alexander City,"Marble City Media, LLC",Classic country (WYFA),Alabama,,,,,
WFXX,107.7 FM,Georgiana,"Fox Broadcasting Corporation, LLC",Adult contemporary,Alabama,,,,,
WFYN-LP,93.3 FM,Birmingham,The Church In Birmingham Corporation,Religious Teaching,Alabama,,,,,
WFZX,1490 AM,Anniston,"The Jeff Beck Broadcasting Group, LLC",Urban contemporary,Alabama,,,,,
WGAD,930 AM,Rainbow City,"Gadsden Radio Media, LLC",Oldies,Alabama,,,,,
WGIB,91.9 FM,Birmingham,Glen Iris Baptist School,Religious,Alabama,,,,,
WGMP,1170 AM,Montgomery,Bluewater Broadcasting Company LLC,Alternative rock,Alabama,,,,,
WGMZ,93.1 FM,Glencoe,"iHM Licenses, LLC",Classic hits,Alabama,,,,,
WGOK,900 AM,Mobile,Cumulus Licensing LLC,Gospel,Alabama,,,,,
WGOL,920 AM,Russellville,Pilati Investments Corp.,Classic country,Alabama,,,,,
WGRW,90.7 FM,Anniston,"Word Works, Inc.",Contemporary Christian,Alabama,,,,,
WGSV,1270 AM,Guntersville,"Guntersville Broadcasting Company, Inc.",News/Talk,Alabama,,,,,
WGSY,100.1 FM,Phenix City,"iHM Licenses, LLC",Adult contemporary,Alabama,,,,,
WGTF,89.5 FM,Dothan,"Bible Broadcasting Network, Inc.",Conservative religious (Bible Broadcasting Network),Alabama,,,,,
WGYJ-LP,93.5 FM,Atmore,"Gospel Light Church, Inc.",Religious Teaching,Alabama,,,,,
WGYV,1380 AM,Greenville,Robert John Williamson,Talk,Alabama,,,,,
WGZZ,94.3 FM,Waverly,"Auburn Network, Inc.",Classic hits,Alabama,15283.0,FM,"AUBURN NETWORK, INC.",LICENSED,Click for Details
WHBB,1490 AM,Selma,"Broadsouth Communications, Inc.",News/Talk/Gospel,Alabama,,,,,
WHEP,1310 AM,Foley,"Stewart Broadcasting Company, Inc.",News/Talk,Alabama,,,,,
WHHY-FM,101.9 FM,Montgomery,Cumulus Licensing LLC,Top 40 (CHR),Alabama,,,,,
WHIL,91.3 FM,Mobile,The Board of Trustees of the University of Alabama,Public radio,Alabama,,,,,
WHIY,1600 AM,Huntsville,"Hundley Batts, Sr. & Virginia Caples",Urban oldies and Blues,Alabama,,,,,
WHLW,104.3 FM,Luverne,"iHM Licenses, LLC",Urban contemporary gospel,Alabama,,,,,
WHMA,1390 AM,Anniston,"Williams Communications, Inc.",Gospel,Alabama,,,,,
WHMA-FM,95.3 FM,Alexandria,"Williams Communications, Inc.",Country,Alabama,,,,,
WHOD,94.5 FM,Jackson,"Pine City Radio, LLC",Adult hits,Alabama,,,,,
WHOG,1120 AM,Hobson City,Hobson City Broadcasting Co,Soul/R&B,Alabama,,,,,
WHOS,800 AM,Decatur,"iHM Licenses, LLC",News/Talk,Alabama,,,,,
WHRP,94.1 FM,Gurley,Cumulus Licensing LLC,Urban adult contemporary,Alabama,,,,,
WHSL,107.7 FM,Lisman,Augustus Foundation Inc.,Urban adult contemporary,Alabama,,,,,
WHTY,1460 AM,Phenix City–Columbus,"iHM Licenses, LLC",Black-oriented news,Alabama,,,,,
WHVK,103.5 FM,New Hope,Educational Media Foundation,Contemporary Christian (K-Love),Alabama,170944.0,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
WIEZ,1490 AM,Decatur,"MKRADIO1, LLC",Dance,Alabama,,,,,
WIJD,1270 AM,Prichard,Mobile Bay Corporation,Christian talk,Alabama,,,,,
WILF,88.9 FM,Monroeville,The Power Foundation,Southern gospel (The Life FM),Alabama,,,,,
WINL,98.5 FM,Linden,"Westburg Broadcasting Alabama, LLC",Country,Alabama,,,,,
WIRB,1490 AM,Level Plains,"Fabiola Lev And Arik Lev, G. P.",Talk,Alabama,,,,,
WIXI,1360 AM,Jasper,Richardson Broadcasting Corporation,"Rhythmic oldies, Blues, Gospel, and Talk",Alabama,,,,,
WIZB,94.3 FM,Abbeville,"Radio Training Network, Inc.",Contemporary Christian,Alabama,,,,,
WJAB,90.9 FM,Huntsville,Alabama A & M University,Jazz/Blues,Alabama,697.0,FM,ALABAMA A & M UNIVERSITY,LICENSED,Click for Details
WJAM,1340 AM,Selma,"Scott Communications, Inc.",Urban adult contemporary,Alabama,,,,,
WJBE-FM,88.5 FM,Five Points,Big South Community Broadcasting Inc.,Classic country,Alabama,,,,,
WJCK,88.3 FM,Piedmont,"Immanuel Broadcasting Network, Inc.",Contemporary Christian,Alabama,,,,,
WJDB-FM,95.5 FM,Thomasville,Griffin Broadcasting Corporation,Country,Alabama,,,,,
WJEC,106.5 FM,Vernon,"Lamar County Broadcasting Co., Inc.",Southern gospel,Alabama,,,,,
WJGR-LP,97.1 FM,Mobile,University of South Alabama,Variety,Alabama,,,,,
WJHF-LP,106.9 FM,Florence,Jackson Heights Church of Christ,Gospel Broadcasting Network (GBN) programming,Alabama,,,,,
WJHO,89.7 FM,Alexander City,Volunteer Broadcasting Inc.,Classic rock,Alabama,,,,,
WJIA,88.5 FM,Guntersville,Lake City Broadcasting Inc.,Contemporary Christian,Alabama,,,,,
WJIF,91.9 FM,Opp,Opp Educational B/CNG Foundation,Religious,Alabama,,,,,
WJIK,89.3 FM,Fulton,"Family Worship Center Church, Inc.",Christian,Alabama,,,,,
WJJN,92.1 FM,Columbia,"Wilson Broadcasting Co., Inc.",Hip Hop,Alabama,,,,,
WJLD,1400 AM,Fairfield,Richardson Broadcasting Corporation,Urban oldies/Blues,Alabama,,,,,
WJLX,1240 AM,Jasper,James D. Earley,Oldies,Alabama,,,,,
WJNZ,1000 AM,Robertsdale,"Tri City Radio, LLC",Talk,Alabama,,,,,
WJOU,90.1 FM,Huntsville,Oakwood University,Christian music,Alabama,,,,,
WJOX,690 AM,Birmingham,"Radio License Holding CBC, LLC",Sports,Alabama,,,,,
WJOX-FM,94.5 FM,Birmingham,"Radio License Holding CBC, LLC",Sports,Alabama,16901.0,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
WJQX,100.5 FM,Helena,"Radio License Holding CBC, LLC",Sports,Alabama,,,,,
WJRD,1150 AM,Tuscaloosa,"JRD, Inc.",Oldies,Alabama,,,,,
WJRL-FM,100.5 FM,Slocomb,"Alabama Media, LLC",Active rock,Alabama,,,,,
WJTW,1480 AM,Bridgeport,"Bridgeport, Inc.",Classic hits,Alabama,,,,,
WJUS,1310 AM,Marion,Grace Baptist Temple Church,Urban gospel,Alabama,,,,,
WJUV,88.3 FM,Cullman,La Promesa Foundation,Catholic,Alabama,,,,,
WJWZ,97.9 FM,Wetumpka,Bluewater Broadcasting Company LLC,Urban contemporary,Alabama,,,,,
WJXI-LP,96.3 FM,Jacksonville,Calhoun County 9-1-1 District,Emergency Info,Alabama,,,,,
WKAC,1080 AM,Athens,"Limestone Broadcasting Company, Inc.","Classic hits, Talk",Alabama,,,,,
WKAX,1500 AM,Russellville,"Sand Mountain Advertisting Co., Inc.",Spanish,Alabama,,,,,
WKCG-LP,99.1 FM,Dothan,The Ordinary People Society,Variety,Alabama,,,,,
WKEA-FM,98.3 FM,Scottsboro,"Southern Torch, Inc.",Country,Alabama,,,,,
WKEM-LP,98.5 FM,Montgomery,Equality Broadcasting Network,Classic R&B,Alabama,,,,,
WKGA,97.5 FM,Goodwater,"Lake Broadcasting, Inc.",Country,Alabama,,,,,
WKKR,97.7 FM,Auburn,"iHM Licenses, LLC",Country,Alabama,,,,,
WKLF,1000 AM,Clanton,WKLF LLC,Southern gospel,Alabama,,,,,
WKLS,105.9 FM,Southside,"Williams Communications, Inc.",Mainstream rock,Alabama,,,,,
WKLV-FM,93.5 FM,Butler,Educational Media Foundation,Contemporary Christian (K-Love),Alabama,,,,,
WKMX,106.7 FM,Enterprise,"Gulf South Communications, Inc.",Top 40 (CHR),Alabama,,,,,
WKNG-FM,89.1 FM,Heflin,"Covenant Communications, Inc.",Contemporary Christian,Alabama,,,,,
WKNU,106.3 FM,Brewton,"Ellington Radio, Inc.",Country,Alabama,,,,,
WKRE,88.1 FM,Argo,TBTA Ministries,Christian rock/Rap,Alabama,,,,,
WKSJ-FM,94.9 FM,Mobile,"iHM Licenses, LLC",Country,Alabama,53145.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WKUA,88.5 FM,Moundville,TBTA Ministries,Christian rock/Rap,Alabama,,,,,
WKUL,92.1 FM,Cullman,Jonathan Christian Corp.,Country/Talk/Sports,Alabama,,,,,
WKWL,1230 AM,Florala,"Florala Broadcasting Co., Inc.",Classic pop,Alabama,,,,,
WKXK,96.7 FM,Pine Hill,"Autaugaville Radio, Inc.",Urban contemporary (WKXN),Alabama,,,,,
WKXM-FM,97.7 FM,Winfield,Ad-Media Management Corp.,Oldies,Alabama,,,,,
WKXN,95.7 FM,Fort Deposit,"Autaugaville Radio, Inc.",Urban contemporary (WKXK),Alabama,,,,,
WKXX,102.9 FM,Attalla,Broadcast Media LLC,Sports,Alabama,,,,,
WKZJ,92.7 FM,Eufaula,"Davis Broadcasting, Inc. of Columbus",Urban adult contemporary,Alabama,,,,,
WLAY,1450 AM,Muscle Shoals,"Singing River Media Group, LLC",Country,Alabama,,,,,
WLAY-FM,100.1 FM,Littleville,"Singing River Media Group, LLC",Country,Alabama,,,,,
WLBF,89.1 FM,Montgomery,"Faith Broadcasting, Inc",Religious,Alabama,,,,,
WLDX,990 AM,Fayette,"Dean Broadcasting, Inc.",Classic hits,Alabama,,,,,
WLGQ,91.5 FM,Gadsden,Educational Media Foundation,Contemporary Christian (K-Love),Alabama,,,,,
WLJR,88.5 FM,Birmingham,Briarwood Presbyterian Church,Religious,Alabama,,,,,
WLJS-FM,91.9 FM,Jacksonville,"Board of Trustees, Jacksonville State University",Public/College radio,Alabama,,,,,
WLOR,1550 AM,Huntsville,"Southern Stone Communications, LLC",TBA,Alabama,,,,,
WLPR,960 AM,Prichard,"Goforth Media, Inc.",Southern gospel,Alabama,,,,,
WLRH,89.3 FM,Huntsville,Alabama Educational Television Commission,Classical music/News,Alabama,719.0,FM,ALABAMA EDUCATIONAL TELEVISION COMMISSION,LICENSED,Click for Details
WLUG-LP,106.3 FM,Anniston,"Center of Hope, Inc.",Contemporary Christian,Alabama,,,,,
WLVC-LP,93.3 FM,Birmingham,Love Commandment Ministries,Silent,Alabama,,,,,
WLVM,98.3 FM,Chickasaw,Educational Media Foundation,Contemporary Christian (K-Love),Alabama,,,,,
WLWE,1360 AM,Roanoke,"Eagle's Nest, Inc.",Sports (WLAG),Alabama,,,,,
WLWI,1440 AM,Montgomery,Cumulus Licensing LLC,News/Talk,Alabama,,,,,
WLWI-FM,92.3 FM,Montgomery,Cumulus Licensing LLC,Country,Alabama,,,,,
WLXQ,99.1 FM,Greensboro,Educational Media Foundation,Contemporary Christian (K-Love),Alabama,,,,,
WLXY-LP,96.9 FM,Chelsea,Chelsea Community Radio,Classic hits,Alabama,,,,,
WLYB,96.3 FM,Livingston,"Blackbelt Broadcasting, Inc.",Adult contemporary,Alabama,,,,,
WMBV,91.9 FM,Dixons Mills,The Moody Bible Institute of Chicago,Religious,Alabama,,,,,
WMCJ,1460 AM,Cullman,"Jimmy Dale Media, LLC",Sports (WFMH),Alabama,,,,,
WMFC,99.3 FM,Monroeville,"Monroe Broadcasting Company, Inc.",Oldies,Alabama,,,,,
WMFT,88.9 FM,Tuscaloosa,The Moody Bible Institute of Chicago,Religious,Alabama,,,,,
WMGJ,1240 AM,Gadsden,Floyd L. Donald Broadcasting Co. Inc,Urban contemporary,Alabama,,,,,
WMGY,800 AM,Montgomery,Terry L. Barber,Southern gospel,Alabama,,,,,
WMHZ,1340 AM,Holt,"TTI, Inc",Classic rock,Alabama,,,,,
WMJJ,96.5 FM,Birmingham,"iHM Licenses, LLC",Adult contemporary,Alabama,2111.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WMMA,1480 AM,Irondale,La Promesa Foundation,Catholic,Alabama,,,,,
WMOB,1360 AM,Mobile,"Buddy Tucker Association, Inc.",Silent,Alabama,,,,,
WMRK-FM,107.9 FM,Shorter,"Alexander Broadcasting Company, LLC",Contemporary Christian (K-Love),Alabama,59383.0,FM,"ALEXANDER BROADCASTING COMPANY, LLC",LICENSED,Click for Details
WMSP,740 AM,Montgomery,Cumulus Licensing LLC,Sports,Alabama,,,,,
WMWI,88.7 FM,Demopolis,Miles College,College,Alabama,,,,,
WMXA,96.7 FM,Opelika,"iHM Licenses, LLC",Hot adult contemporary,Alabama,,,,,
WMXB,1280 AM,Tuscaloosa,"Lawson of Tuscaloosa, Inc.",Urban adult contemporary,Alabama,,,,,
WMXC,99.9 FM,Mobile,"iHM Licenses, LLC",Hot adult contemporary,Alabama,8696.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WMXN-FM,101.7 FM,Stevenson,"Southern Torch, Inc.",Classic hits,Alabama,,,,,
WMXS,103.3 FM,Montgomery,Cumulus Licensing LLC,Adult contemporary,Alabama,,,,,
WNGL,1410 AM,Mobile,"Archangel Communications, Inc.",Catholic,Alabama,,,,,
WNRA-LP,94.5 FM,Hank Pride,Northern Alabama Historical Foundation,Country,Alabama,,,,,
WNSP,105.5 FM,Bay Minette,"Dot Com Plus, LLC",Sports,Alabama,,,,,
WNTM,710 AM,Mobile,"iHM Licenses, LLC",Talk,Alabama,,,,,
WNWF,1470 AM,Evergreen,"Andala Enterprises, Inc.",News/Talk,Alabama,,,,,
WOAB,104.9 FM,Ozark,"Dockins Communications, Inc.",Country,Alabama,,,,,
WOOF,560 AM,Dothan,"WOOF, Inc.",Sports,Alabama,,,,,
WOOF-FM,99.7 FM,Dothan,"WOOF, Inc.",Adult contemporary,Alabama,,,,,
WOPP,1290 AM,Opp,"E & R Broadcasting, Inc.",Country/Oldies/Southern gospel,Alabama,,,,,
WOWB,90.9 FM,Brewton,"Agape Educational Media, Inc.",Contemporary Christian,Alabama,,,,,
WOXI-LP,95.9 FM,Oxford,Calhoun County 9-1-1 District,Emergency Info,Alabama,,,,,
WOZK,900 AM,Ozark,"Dockins Communications, Inc.",Oldies,Alabama,,,,,
WPHH,93.5 FM,Hope Hull,"Radio Training Network, Inc.",Contemporary Christian,Alabama,,,,,
WPID,1280 AM,Piedmont,Piedmont Radio Co.,Adult contemporary,Alabama,,,,,
WPIL,91.7 FM,Heflin,Down the Hill Communications,Southern gospel/Classic country/Bluegrass,Alabama,,,,,
WPJB-LP,93.3 FM,Selma,People for Jesus Radio Broadcasting Company,Contemporary Christian,Alabama,,,,,
WPJN,89.3 FM,Jemison,C W Johnson Education Foundation Inc.,Contemporary Christian,Alabama,,,,,
WPLX-LP,93.3 FM,Pelham,North Shelby Community Radio,Classic hits,Alabama,,,,,
WPMR-LP,95.7 FM,Russellville,Provision Ministry,Southern gospel,Alabama,,,,,
WPPG,101.1 FM,Repton,Wolff Broadcasting Corporation,Country,Alabama,,,,,
WPYA,97.3 FM,Gardendale,"SM-WZNN, LLC",Hot adult contemporary,Alabama,71417.0,FM,"SM-WZNN, LLC",LICENSED,Click for Details
WQAH-FM,105.7 FM,Addison,"Abercrombie Broadcasting FM, Inc.",Country/Bluegrass,Alabama,,,,,
WQCR,1500 AM,Alabaster,"Rivera Communications, LLC",Spanish Adult hits,Alabama,,,,,
WQEM,101.5 FM,Columbiana,Glen Iris Baptist School,Religious,Alabama,,,,,
WQEN,103.7 FM,Trussville,"iHM Licenses, LLC",Top 40 (CHR),Alabama,22997.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WQJJ-LP,101.9 FM,Jasper,North Alabama Public Service Broadcasters,Classic hits,Alabama,,,,,
WQKS-FM,96.1 FM,Montgomery,"Bluewater Broadcasting Company, LLC",Adult contemporary,Alabama,43628.0,FM,BLUEWATER BROADCASTING COMPANY LLC,LICENSED,Click for Details
WQLT-FM,107.3 FM,Florence,Big River Broadcasting Corporation,Adult hits,Alabama,,,,,
WQNR,99.9 FM,Tallassee,"Tiger Communications, Inc.",Adult hits,Alabama,,,,,
WQOH-FM,88.7 FM,Springville,La Promesa Foundation,Catholic,Alabama,,,,,
